movie_title,genres,original_release_date,runtime,tomatometer_rating,audience_rating,tomatometer_status,audience_status,tomatometer_count,audience_count
Titanic,"Drama, Romance",19/12/1997,195,89,69,Certified-Fresh,Upright,192,35798
The Lord of the Rings: The Return of the King,"Action & Adventure, Classics, Science Fiction & Fantasy",17/12/2003,200,93,86,Certified-Fresh,Upright,275,34680
Spider-Man,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",03/05/2002,116,90,67,Certified-Fresh,Upright,245,34297
Shrek 2,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",19/05/2004,92,89,69,Certified-Fresh,Upright,236,34233
Harry Potter and the Goblet of Fire,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",18/11/2005,157,88,74,Certified-Fresh,Upright,255,34154
Gladiator,"Action & Adventure, Classics, Drama",05/05/2000,154,77,87,Certified-Fresh,Upright,199,34128
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","Kids & Family, Science Fiction & Fantasy",09/12/2005,140,76,61,Certified-Fresh,Upright,218,34105
American Pie,Comedy,09/07/1999,95,61,61,Fresh,Upright,129,33782
King Kong,Action & Adventure,14/12/2005,187,84,50,Certified-Fresh,Spilled,267,33767
Star Wars: Episode III - Revenge of the Sith,"Action & Adventure, Drama, Science Fiction & Fantasy",19/05/2005,140,80,66,Certified-Fresh,Upright,299,33684
Mr. & Mrs. Smith,"Action & Adventure, Comedy, Mystery & Suspense",07/06/2005,120,60,58,Fresh,Spilled,214,33462
Rocky,"Drama, Sports & Fitness",21/11/1976,119,94,69,Certified-Fresh,Upright,65,33404
Finding Nemo,"Animation, Comedy, Kids & Family",30/05/2003,100,99,86,Certified-Fresh,Upright,266,33357
The Matrix,"Action & Adventure, Science Fiction & Fantasy",31/03/1999,136,88,85,Certified-Fresh,Upright,154,33324
Ace Ventura: Pet Detective,"Action & Adventure, Comedy",01/06/1993,86,49,57,Rotten,Spilled,61,33204
Meet the Fockers,Comedy,22/12/2004,115,39,58,Rotten,Spilled,162,33182
Pirates of the Caribbean: The Curse of the Black Pearl,"Action & Adventure, Science Fiction & Fantasy",28/06/2003,143,79,86,Certified-Fresh,Upright,219,33126
There's Something About Mary,Comedy,15/07/1998,118,83,61,Certified-Fresh,Upright,84,33122
Bruce Almighty,"Comedy, Science Fiction & Fantasy",23/05/2003,101,48,57,Rotten,Spilled,193,33024
Wedding Crashers,"Comedy, Romance",15/07/2005,119,76,70,Certified-Fresh,Upright,188,32962
Austin Powers in Goldmember,Comedy,25/07/2002,94,53,44,Rotten,Spilled,187,32935
2 Fast 2 Furious,"Action & Adventure, Drama, Mystery & Suspense",06/06/2003,108,36,50,Rotten,Spilled,160,32792
School of Rock,Comedy,03/10/2003,108,91,64,Certified-Fresh,Upright,199,32784
The Longest Yard,"Comedy, Drama",27/05/2005,113,31,62,Rotten,Upright,169,32774
The Day After Tomorrow,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",28/05/2004,123,44,50,Rotten,Spilled,221,32749
Pretty Woman,"Comedy, Romance",23/03/1990,114,63,68,Fresh,Upright,68,32709
Braveheart,"Action & Adventure, Classics, Drama",26/05/1995,177,78,85,Certified-Fresh,Upright,82,32708
50 First Dates,Comedy,13/02/2004,96,45,65,Rotten,Upright,176,32700
White Chicks,Comedy,23/06/2004,108,15,55,Rotten,Spilled,124,32692
Hitch,"Comedy, Romance",11/02/2005,117,69,62,Fresh,Upright,188,32624
The Incredibles,"Animation, Comedy, Kids & Family",05/11/2004,115,97,75,Certified-Fresh,Upright,248,32604
Ocean's Eleven,"Action & Adventure, Comedy, Drama",07/12/2001,116,82,80,Certified-Fresh,Upright,177,32602
Scary Movie,"Comedy, Horror",07/07/2000,88,53,43,Rotten,Spilled,116,32582
Kill Bill: Volume 1,"Action & Adventure, Mystery & Suspense",10/10/2003,110,85,81,Certified-Fresh,Upright,237,32558
Saw II,"Horror, Mystery & Suspense",28/10/2005,93,37,59,Rotten,Spilled,122,32525
War of the Worlds,"Action & Adventure, Science Fiction & Fantasy",29/06/2005,116,75,42,Certified-Fresh,Spilled,263,32519
Charlie and the Chocolate Factory,"Comedy, Kids & Family, Science Fiction & Fantasy",15/07/2005,115,83,51,Certified-Fresh,Spilled,231,32496
The Ring,"Drama, Horror, Mystery & Suspense, Romance",18/10/2002,115,71,48,Fresh,Spilled,207,32459
E.T. The Extra-Terrestrial,"Kids & Family, Science Fiction & Fantasy",11/06/1982,115,98,72,Certified-Fresh,Upright,130,32314
Sin City,"Action & Adventure, Drama, Mystery & Suspense",01/04/2005,124,77,78,Certified-Fresh,Upright,252,32223
8 Mile,Drama,08/11/2002,110,75,54,Certified-Fresh,Spilled,213,32168
Mean Girls,Comedy,30/04/2004,97,84,66,Certified-Fresh,Upright,189,32168
10 Things I Hate About You,Comedy,31/03/1999,97,69,69,Fresh,Upright,78,32105
Save the Last Dance,"Drama, Romance",12/01/2001,108,53,59,Rotten,Spilled,99,31846
A Cinderella Story,"Comedy, Drama, Kids & Family, Romance",16/07/2004,95,12,53,Rotten,Spilled,104,31660
The Notebook,"Drama, Romance",25/06/2004,124,53,85,Rotten,Upright,178,31657
Love Actually,"Comedy, Romance",07/11/2003,135,64,72,Fresh,Upright,220,31627
A Walk to Remember,"Drama, Romance",25/01/2002,101,27,78,Rotten,Upright,103,31402
About a Boy,"Comedy, Drama, Romance",17/05/2002,100,93,55,Certified-Fresh,Spilled,187,31164
Donnie Darko,"Comedy, Mystery & Suspense, Science Fiction & Fantasy, Romance",19/01/2001,113,86,80,Certified-Fresh,Upright,117,30985
Transformers: Revenge of the Fallen,"Action & Adventure, Science Fiction & Fantasy",24/06/2009,149,20,57,Rotten,Spilled,251,4082
Pirates of the Caribbean: At Worlds End,"Action & Adventure, Science Fiction & Fantasy",25/05/2007,168,44,72,Rotten,Upright,228,2738
Transformers,"Action & Adventure, Science Fiction & Fantasy",03/07/2007,144,58,85,Rotten,Upright,227,2385
Shutter Island,"Action & Adventure, Drama, Mystery & Suspense",19/02/2010,138,68,76,Fresh,Upright,258,2374
Harry Potter and the Order of the Phoenix,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",11/07/2007,138,78,81,Certified-Fresh,Upright,255,2334
Spider-Man 3,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",04/05/2007,133,62,51,Fresh,Spilled,261,2265
Shrek the Third,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",18/05/2007,93,41,52,Rotten,Spilled,213,2219
Knocked Up,"Comedy, Romance",01/06/2007,129,90,83,Certified-Fresh,Upright,252,2085
Push,"Mystery & Suspense, Science Fiction & Fantasy",06/02/2009,111,23,42,Rotten,Spilled,127,2026
The Bourne Ultimatum,"Action & Adventure, Drama, Mystery & Suspense",03/08/2007,115,92,91,Certified-Fresh,Upright,266,1923
Live Free or Die Hard,"Action & Adventure, Mystery & Suspense",27/06/2007,129,82,86,Certified-Fresh,Upright,209,1860
Pirates of the Caribbean: Dead Man's Chest,"Action & Adventure, Comedy, Science Fiction & Fantasy",07/07/2006,151,53,72,Rotten,Upright,228,1848
The Dark Knight,"Action & Adventure, Drama, Science Fiction & Fantasy",18/07/2008,152,94,94,Certified-Fresh,Upright,340,1832
The Simpsons Movie,"Animation, Comedy",27/07/2007,86,88,77,Certified-Fresh,Upright,222,1823
Sweeney Todd: The Demon Barber of Fleet Street,"Drama, Musical & Performing Arts, Mystery & Suspense",21/12/2007,117,86,81,Certified-Fresh,Upright,229,1696
Harry Potter and the Half-Blood Prince,"Action & Adventure, Drama, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",15/07/2009,153,84,78,Certified-Fresh,Upright,279,1559
"I Love You, Man","Comedy, Drama",20/03/2009,105,83,74,Certified-Fresh,Upright,208,1551
Wanted,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",12/06/2008,110,71,69,Certified-Fresh,Upright,206,1546
Ocean's Thirteen,"Action & Adventure, Comedy, Drama, Mystery & Suspense",08/06/2007,122,70,75,Fresh,Upright,199,1533
Disturbia,"Drama, Mystery & Suspense",13/04/2007,105,69,77,Fresh,Upright,175,1453
National Treasure: Book of Secrets,Action & Adventure,21/12/2007,130,36,67,Rotten,Upright,130,1439
300,"Action & Adventure, Drama",09/03/2007,117,61,89,Fresh,Upright,235,1435
Blades of Glory,Comedy,30/03/2007,93,70,68,Fresh,Upright,187,1403
The Ugly Truth,"Comedy, Romance",24/07/2009,95,14,60,Rotten,Upright,174,1399
Avatar,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",18/12/2009,155,82,82,Certified-Fresh,Upright,317,1383
Shrek,"Animation, Comedy, Kids & Family",18/05/2001,89,88,90,Certified-Fresh,Upright,205,1379
The Lord of the Rings: The Fellowship of the Ring,"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",19/12/2001,178,91,95,Certified-Fresh,Upright,233,1356
The Lord of the Rings: The Two Towers,"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",12/12/2002,179,95,95,Certified-Fresh,Upright,255,1341
Fantastic Four: Rise of the Silver Surfer,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",15/06/2007,92,37,51,Rotten,Spilled,170,1340
Echelon Conspiracy,"Action & Adventure, Mystery & Suspense",27/02/2009,106,8,31,Rotten,Spilled,13,1329
Indiana Jones and the Kingdom of the Crystal Skull,Action & Adventure,22/05/2008,122,78,54,Certified-Fresh,Spilled,274,1321
I Now Pronounce You Chuck & Larry,Comedy,20/07/2007,115,15,69,Rotten,Upright,164,1308
The Lion King,"Action & Adventure, Animation, Drama, Kids & Family, Musical & Performing Arts",15/06/1994,87,93,93,Certified-Fresh,Upright,129,1269
"Monsters, Inc.","Animation, Comedy, Kids & Family, Science Fiction & Fantasy",02/11/2001,92,96,90,Certified-Fresh,Upright,196,1255
Forrest Gump,"Comedy, Drama, Romance",06/07/1994,142,71,95,Fresh,Upright,103,1244
The Dark Knight Rises,"Action & Adventure, Drama, Mystery & Suspense",20/07/2012,165,87,90,Certified-Fresh,Upright,367,1212
Star Wars: Episode I - The Phantom Menace,"Cult Movies, Kids & Family, Science Fiction & Fantasy",09/05/1999,133,52,59,Rotten,Spilled,232,1210
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,04/08/2006,84,91,79,Certified-Fresh,Upright,222,1205
Up,"Action & Adventure, Animation, Comedy, Kids & Family",29/05/2009,89,98,90,Certified-Fresh,Upright,296,1204
District 9,"Action & Adventure, Drama, Science Fiction & Fantasy",14/08/2009,111,90,82,Certified-Fresh,Upright,312,1179
Harry Potter and the Prisoner of Azkaban,"Kids & Family, Science Fiction & Fantasy",04/06/2004,141,90,86,Certified-Fresh,Upright,259,1169
Grease,"Comedy, Musical & Performing Arts, Romance",01/06/1978,110,75,87,Certified-Fresh,Upright,73,1161
Harry Potter and the Sorcerer's Stone,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",16/11/2001,152,81,82,Certified-Fresh,Upright,201,1158
Slumdog Millionaire,"Drama, Romance",30/08/2008,116,91,90,Certified-Fresh,Upright,288,1156
Spider-Man 2,"Action & Adventure, Science Fiction & Fantasy",30/06/2004,122,93,82,Certified-Fresh,Upright,274,1152
Harry Potter and the Chamber of Secrets,"Kids & Family, Science Fiction & Fantasy",15/11/2002,161,82,80,Certified-Fresh,Upright,239,1151
Marvel's The Avengers,"Action & Adventure, Science Fiction & Fantasy",04/05/2012,143,92,91,Certified-Fresh,Upright,357,1136
Ice Age,"Animation, Comedy, Kids & Family",15/03/2002,81,77,82,Certified-Fresh,Upright,167,1135
I Am Legend,"Action & Adventure, Drama, Science Fiction & Fantasy",14/12/2007,101,68,68,Fresh,Upright,215,1130
Pulp Fiction,Drama,23/09/1994,153,92,96,Certified-Fresh,Upright,106,1128
Batman Begins,"Action & Adventure, Science Fiction & Fantasy",14/06/2005,140,84,94,Certified-Fresh,Upright,286,1115
Toy Story,"Animation, Comedy, Kids & Family",22/11/1995,80,100,92,Certified-Fresh,Upright,90,1109
Back to the Future,"Action & Adventure, Comedy, Science Fiction & Fantasy",03/07/1985,116,96,94,Certified-Fresh,Upright,84,1095
Fight Club,"Comedy, Drama",15/10/1999,139,79,96,Certified-Fresh,Upright,173,1093
Iron Man,"Action & Adventure, Science Fiction & Fantasy",14/04/2008,126,94,91,Certified-Fresh,Upright,279,1083
X-Men: The Last Stand,"Action & Adventure, Science Fiction & Fantasy",26/05/2006,105,57,61,Rotten,Upright,238,1074
Ratatouille,"Animation, Comedy, Kids & Family",29/06/2007,111,96,87,Certified-Fresh,Upright,250,1072
Jurassic Park,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",11/06/1993,126,91,91,Certified-Fresh,Upright,128,1071
X-Men,"Action & Adventure, Science Fiction & Fantasy",14/07/2000,104,81,83,Certified-Fresh,Upright,172,1068
Star Wars: Episode V - The Empire Strikes Back,"Action & Adventure, Drama, Science Fiction & Fantasy",20/06/1980,124,94,97,Certified-Fresh,Upright,103,1058
Watchmen,"Action & Adventure, Drama, Science Fiction & Fantasy",06/03/2009,163,65,71,Fresh,Upright,309,1057
Meet the Parents,Comedy,06/10/2000,108,84,79,Certified-Fresh,Upright,148,1057
Dirty Dancing,"Drama, Musical & Performing Arts, Romance",21/08/1987,100,68,90,Fresh,Upright,69,1055
Big Daddy,"Comedy, Kids & Family",25/06/1999,93,39,74,Rotten,Upright,94,1052
Men in Black,"Action & Adventure, Comedy, Science Fiction & Fantasy",02/07/1997,98,92,79,Certified-Fresh,Upright,90,1049
The Fast and the Furious,"Action & Adventure, Drama",22/06/2001,107,53,74,Rotten,Upright,150,1044
Ghostbusters (1984 Original),"Action & Adventure, Comedy, Science Fiction & Fantasy",08/06/1984,107,97,88,Certified-Fresh,Upright,73,1040
The Sixth Sense,Mystery & Suspense,06/08/1999,107,86,90,Certified-Fresh,Upright,158,1037
Edward Scissorhands,"Drama, Science Fiction & Fantasy, Romance",07/12/1990,105,90,91,Certified-Fresh,Upright,60,1033
Mrs. Doubtfire,"Comedy, Drama, Kids & Family",24/11/1993,125,71,77,Fresh,Upright,52,1029
Dumb and Dumber,"Action & Adventure, Comedy, Special Interest",16/12/1994,106,68,84,Fresh,Upright,53,1028
Home Alone,"Comedy, Kids & Family",16/11/1990,102,65,80,Fresh,Upright,54,1027
Star Wars: Episode VI - Return of the Jedi,"Action & Adventure, Drama, Science Fiction & Fantasy",25/05/1983,133,82,94,Certified-Fresh,Upright,95,1013
The Last House on the Left,"Drama, Horror, Mystery & Suspense",13/03/2009,110,42,52,Rotten,Spilled,166,1004
Toy Story 2,"Animation, Comedy, Kids & Family",24/11/1999,92,100,86,Certified-Fresh,Upright,169,1001
"I, Robot","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",16/07/2004,115,56,70,Rotten,Upright,225,999
G.I. Joe: The Rise of Cobra,"Action & Adventure, Science Fiction & Fantasy",07/08/2009,118,34,50,Rotten,Spilled,168,996
Dodgeball - A True Underdog Story,Comedy,18/06/2004,92,71,76,Fresh,Upright,164,996
The Mask,"Action & Adventure, Comedy, Science Fiction & Fantasy",29/07/1994,101,77,68,Certified-Fresh,Upright,53,995
Saving Private Ryan,"Action & Adventure, Drama",24/07/1998,169,93,95,Certified-Fresh,Upright,142,993
Happy Gilmore,"Comedy, Special Interest",16/02/1996,92,61,85,Fresh,Upright,54,991
The Time Traveler's Wife,"Drama, Science Fiction & Fantasy, Romance",14/08/2009,107,38,59,Rotten,Spilled,159,983
A Bug's Life,"Animation, Kids & Family, Science Fiction & Fantasy",20/11/1998,96,92,73,Certified-Fresh,Upright,88,982
The Stepfather,"Horror, Mystery & Suspense",16/10/2009,101,11,35,Rotten,Spilled,63,982
Independence Day,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",02/07/1996,145,67,75,Fresh,Upright,75,978
X2: X-Men United,"Action & Adventure, Science Fiction & Fantasy",02/05/2003,134,85,85,Certified-Fresh,Upright,245,977
Jumanji,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy, Romance",15/12/1995,104,55,62,Rotten,Upright,38,976
Miss Congeniality,"Action & Adventure, Comedy",22/12/2000,105,41,69,Rotten,Upright,116,976
Legally Blonde,Comedy,13/07/2001,96,70,72,Fresh,Upright,147,972
The Nightmare Before Christmas,"Animation, Kids & Family, Science Fiction & Fantasy",24/10/1993,75,95,91,Certified-Fresh,Upright,96,969
The Bourne Identity,"Action & Adventure, Mystery & Suspense",14/06/2002,113,83,93,Certified-Fresh,Upright,192,966
G-Force,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",24/07/2009,88,22,39,Rotten,Spilled,127,965
American Gangster,Drama,02/11/2007,157,80,87,Certified-Fresh,Upright,215,963
Gone in 60 Seconds (Gone in Sixty Seconds),Action & Adventure,09/06/2000,117,25,77,Rotten,Upright,138,955
American Pie 2,Comedy,10/08/2001,105,52,68,Rotten,Upright,127,955
Dr. Seuss' How the Grinch Stole Christmas,"Comedy, Drama, Kids & Family, Science Fiction & Fantasy",17/11/2000,105,49,56,Rotten,Spilled,142,949
The Mummy,"Action & Adventure, Horror, Mystery & Suspense",01/06/1999,124,61,75,Fresh,Upright,101,947
Zoolander,"Comedy, Special Interest",28/09/2001,89,64,80,Fresh,Upright,138,945
Jaws,"Action & Adventure, Drama, Mystery & Suspense",01/06/1975,124,98,90,Certified-Fresh,Upright,88,945
The Hangover,Comedy,05/06/2009,99,78,84,Certified-Fresh,Upright,239,943